ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"US05946K1016","BBVA","BCO BIL.VIZ.ARG.ADR EO,-4","Common stock","EUR",2506442,2020-02-13,20:30,5.2,5.2,5.2,5.2,0,1
"US82622J1043","SHL1","SIEMENS HEALTH ADR/0,50","Common stock","EUR",3424833,2020-02-13,20:30,19.8,19.8,19.8,19.8,0,1
"DE000A2G8XP9","EBE","AIFINYO AG  INH O.N.","Common stock","EUR",4759211,2020-02-13,20:30,35.6,35.6,35.6,35.6,0,1
"US0758961009","BBY","BED BATH + BEYOND  DL-,01","Common stock","EUR",4688441,2020-02-13,20:30,10.622,10.622,10.622,10.622,0,1
"FI0009005987","RPL","UPM KYMMENE CORP.","Common stock","EUR",4706819,2020-02-13,20:30,30.11,30.11,30.11,30.11,0,1
"US6840601065","FTE1","ORANGE S.A. ADR      EO 4","Common stock","EUR",2506548,2020-02-13,20:30,13.1,13.1,13.1,13.1,0,1
"US1924461023","COZ","COGNIZANT TECH. SOL.A","Common stock","EUR",4554107,2020-02-13,20:30,64.95,64.95,64.95,64.95,0,1
"US5004723038","PHIA","KONINKL. PHILIPS ADR -,20","Common stock","EUR",2506519,2020-02-13,20:30,44.4,44.4,44.4,44.4,0,1
"GB0006043169","MZP","MORRISON SUPERMKTS LS-,10","Common stock","EUR",4706822,2020-02-13,20:30,2.156,2.156,2.156,2.156,0,1
"US7185461040","R66","PHILLIPS 66        DL-,01","Common stock","EUR",4554112,2020-02-13,20:30,82.96,82.96,82.96,82.96,0,1
"US1638511089","2CU","CHEMOURS CO.       DL-,01","Common stock","EUR",4688434,2020-02-13,20:30,14.105,14.105,14.105,14.105,0,1
"US6293775085","NRA","NRG ENERGY INC.    DL-,01","Common stock","EUR",4704763,2020-02-13,20:30,35.8,35.8,35.8,35.8,0,1
"US1567001060","CYT","CENTURYLINK INC.     DL 1","Common stock","EUR",4599437,2020-02-13,20:30,12.406,12.406,12.406,12.406,0,1
"US45253H1014","IMU","IMMUNOGEN INC.     DL-,01","Common stock","EUR",4688446,2020-02-13,20:30,4.844,4.844,4.844,4.844,0,1
"US1071801013","BNRA","BRENNTAG AG UNSP.ADR/0,10","Common stock","EUR",3424832,2020-02-13,20:30,9.7,9.7,9.7,9.7,0,1
"GB0006776081","PES","PEARSON PLC        LS-,25","Common stock","EUR",4706823,2020-02-13,20:30,6.82,6.82,6.82,6.82,0,1
"US98887L1052","ZAL1","ZALANDO SE UNSP.ADR /2","Common stock","EUR",3443173,2020-02-13,20:30,23.4,23.4,23.4,23.4,0,1
"DE000A254WA7","FREN","FRESENIUS SE+CO. NEUE ON","Common stock","EUR",4703628,2020-02-13,20:30,46,46,46,46,0,1
"US0727303028","BAYA","BAYER ADR /1/4","Common stock","EUR",2506445,2020-02-13,20:30,19.1,19.1,19.1,19.1,0,1
"US03938L2034","ARRJ","ARCELORMITTAL NY SHS/1 ON","Common stock","EUR",2506436,2020-02-13,20:30,15.9,15.9,15.9,15.9,0,1
"US76026T2050","REPA","REPSOL S.A. EO 1 ADR 1","Common stock","EUR",2506564,2020-02-13,20:30,12.3,12.3,12.3,12.3,0,1
"US1273871087","CDS","CADENCE DESIGN SYS DL-,01","Common stock","EUR",4688442,2020-02-13,20:30,69.92,69.92,69.92,69.92,0,1
"US4568371037","INNA","ING GP NV SP.ADR/1 EO-,24","Common stock","EUR",2506508,2020-02-13,20:30,10.6,10.6,10.6,10.6,0,1
"IE00BD1RP616","BIRG","BK OF IRELD GRP      EO 1","Common stock","EUR",4706826,2020-02-13,20:30,4.084,4.084,4.084,4.084,0,1
"US92343E1029","VRS","VERISIGN INC.     DL-,001","Common stock","EUR",4614353,2020-02-13,20:30,191.6,191.6,191.6,191.6,0,1
"US2948216088","ERCA","ERICSSON B (SPON.) ADR","Common stock","EUR",2506480,2020-02-13,20:30,8.35,8.35,8.35,8.35,0,1
"US74736K1016","2QO","QORVO INC.DL -,0001","Common stock","EUR",4614350,2020-02-13,20:30,101,101,101,101,0,1
"US48265W1080","SDF1","K+S AG SP.ADR 1/2/O.N.","Common stock","EUR",2506515,2020-02-13,20:30,4.64,4.64,4.64,4.64,0,1
"US42809H1077","AHC","HESS CORP.           DL 1","Common stock","EUR",4582007,2020-02-13,20:30,54.5,54.5,54.5,54.5,0,1
"US5529531015","MGG","MGM RESORTS INTL  DL -,01","Common stock","EUR",4704761,2020-02-13,20:30,29,29,29,29,0,1
"US6907421019","O5Q","OWENS CORNING NEW  DL-,01","Common stock","EUR",4704764,2020-02-13,20:30,58.5,58.5,58.5,58.5,0,1
"US25157Y2028","DPWA","DEUTSCHE POST SPONS.ADR 1","Common stock","EUR",2506472,2020-02-13,20:30,33.2,33.2,33.2,33.2,0,1
"US2220702037","CO3A","COTY INC.CL.A     DL -,01","Common stock","EUR",4593381,2020-02-13,20:30,10.566,10.566,10.566,10.566,0,1
"IE00BFWXDX52","FVUI","F.L.DL IGCBETF  DLD","ETF","EUR",3294474,2020-02-13,20:30,25.718,25.718,25.718,25.718,0,1
"US9254581013","VWSA","VESTAS WIND ADR 1/3/DK 1","Common stock","EUR",2506593,2020-02-13,20:30,30.4,30.4,30.4,30.4,0,1
"IT0003497176","TQIR","TELECOM ITALIA RNC","Common stock","EUR",2505808,2020-02-13,20:30,0.4941,0.4941,0.4941,0.4941,0,1
"US0846701086","BRH","BERKSHIRE HATHAWAY A DL 5","Common stock","EUR",2506446,2020-02-13,20:30,314000,314000,314000,314000,0,1
"US8425871071","SOT","THE SOUTHERN CO.     DL 5","Common stock","EUR",4536473,2020-02-13,20:30,63.18,63.18,63.18,63.18,0,1
"US1667641005","CHV","CHEVRON CORP.      DL-,75","Common stock","EUR",2506456,2020-02-13,20:30,101.76,101.76,101.76,101.76,0,1
"US87165B1035","SFE","SYNCHRONY FIN.    DL-,001","Common stock","EUR",4614352,2020-02-13,20:30,30.765,30.765,30.765,30.765,0,1
"US03485P3001","NGLD","ANGLO AMERICAN SP.ADR 1/2","Common stock","EUR",2506433,2020-02-13,20:30,12.6,12.6,12.6,12.6,0,1
"US7739031091","RWL","ROCKWELL AU.         DL 1","Common stock","EUR",4614351,2020-02-13,20:30,185.64,185.64,185.64,185.64,0,1
"US4103451021","HN9","HANESBRANDS INC.  DL -,01","Common stock","EUR",4704755,2020-02-13,20:30,13.2,13.2,13.2,13.2,0,1
"IE00BFWXDY69","FVSH","FR.LIB.EOSM ETF  EOD","ETF","EUR",3294475,2020-02-13,20:30,25.06,25.06,25.06,25.06,0,1
"ES0177542018","INR","INTERN.CONS.AIRL.GR.","Common stock","EUR",4707091,2020-02-13,20:30,7.576,7.576,7.576,7.576,0,1
"DK0010244508","DP4B","A.P.MOELL.-M.NAM B DK1000","Common stock","EUR",4706829,2020-02-13,20:30,1128,1128,1128,1128,0,1
